Data Used,Accuracy,F1 Micro,F1 Macro,Sampling Duration
289,0.8347039222717285,0.6744939271255062,0.6713672084687099,0.0
724,0.8741776347160339,0.7709580838323352,0.7758475306738151,0.00034546852111816406
1116,0.8735608458518982,0.7759562841530054,0.7806388170950982,0.0003058910369873047
1469,0.8756167888641357,0.7843137254901961,0.7901417960072755,0.000255584716796875
1786,0.8782894611358643,0.7887223411848678,0.7941675703353216,0.00028014183044433594
2072,0.8869243264198303,0.8025843503230439,0.8071568071574835,0.00032401084899902344
2329,0.88671875,0.8022963760315752,0.8063638926045109,0.0001766681671142578
2560,0.8939144611358643,0.8101545253863135,0.8131605051631404,0.00016355514526367188
2768,0.8895970582962036,0.8056460369163952,0.8103761835950047,0.00017881393432617188
2899,0.8928865194320679,0.8040616773223015,0.8058706478192929,0.04456067085266113
3099,0.8932976722717285,0.8148412415269354,0.820819848400825,0.00014328956604003906
3299,0.8918585777282715,0.8107913669064747,0.816175038041746,0.000152587890625
3478,0.8951480388641357,0.8173352435530087,0.8210431902618074,0.05365180969238281
3678,0.8992598652839661,0.8219476744186046,0.8258430647927449,0.00016355514526367188
3878,0.8957648277282715,0.8195087219651122,0.8234808154030843,0.00015497207641601562
4058,0.8990542888641357,0.8224231464737795,0.82597021717269,0.06146073341369629
4258,0.9017269611358643,0.8256746900072939,0.8285530556715706,0.00015306472778320312
4458,0.90234375,0.8224299065420562,0.8248247892244485,0.0001399517059326172
4638,0.9015213847160339,0.8268883267076255,0.8299250725041935,0.06975221633911133
