Data Used,Accuracy,F1 Micro,F1 Macro,Sampling Duration
289,0.8441810344827586,0.6672802577082375,0.6652209088352311,0.0
724,0.8734913793103448,0.7511657481983891,0.7525807829450812,26.38921356201172
1116,0.8771551724137931,0.7652388797364086,0.7672089192265062,31.47923707962036
1469,0.8870689655172413,0.792063492063492,0.7940818915874416,31.400240421295166
1786,0.8877155172413793,0.783727687837277,0.784964437690765,31.13988971710205
2072,0.8857758620689655,0.7916666666666665,0.7927204974534929,31.509650230407715
2329,0.8943965517241379,0.8016194331983805,0.8036241594708113,32.06268572807312
2560,0.8941810344827587,0.8019362646228317,0.802925565999125,32.40661573410034
2768,0.8963362068965517,0.8088994835121177,0.8118052179197509,32.36826729774475
2899,0.8948275862068965,0.8096723868954758,0.8117745798801318,32.97432541847229
3099,0.8963362068965517,0.8117416829745598,0.8142359537840757,32.86779260635376
3299,0.89375,0.8097259745272096,0.8133980053099814,33.14823341369629
3478,0.8963362068965517,0.8203212551363466,0.826190297771644,33.403647661209106
3678,0.8984913793103448,0.8160874658336589,0.8184418486158566,32.198686361312866
3878,0.9,0.8238420652999241,0.8269392392763365,33.376676082611084
4058,0.897198275862069,0.8153310104529615,0.8187911257178101,33.148343563079834
4258,0.902801724137931,0.8225108225108226,0.8250389349650273,33.28408360481262
4458,0.9012931034482758,0.8242517267843438,0.8273870611026602,33.71681332588196
4638,0.9038793103448276,0.8216,0.8223856354282868,33.97563982009888
