strategy,precision,recall,tp_count,fp_count,fn_count,all_count,nonzero_count
lc,95.43,95.43,968,123,171,385,385
mc,95.85,95.85,980,111,159,398,398
kmeans,95.71,95.71,979,117,160,387,387
coreset,95.32,95.32,947,111,192,375,375
comal,94.96,94.96,943,145,196,366,366
besra,95.81,95.81,973,104,166,393,393
random,95.46,95.46,972,130,167,380,380
