strategy,precision,recall,tp_count,fp_count,fn_count,all_count,nonzero_count
lc,74.4,74.93,4080,1404,1365,1681,685
mc,79.65,76.05,4141,1058,1304,1792,768
kmeans,77.63,74.93,4080,1176,1365,1754,716
coreset,76.1,75.08,4088,1284,1357,1726,741
comal,75.5,79.34,4320,1402,1125,1771,798
besra,77.41,76.84,4184,1221,1261,1772,747
random,79.76,73.02,3976,1009,1469,1750,706
