Batch Size,Sequence Length,Accuracy,F1 Micro,F1 Macro
4,192,0.9727563858032227,0.979293544457978,0.908118055944143
4,256,0.9743589758872986,0.9804878048780488,0.798914734976116
4,300,0.9743589758872986,0.9804878048780488,0.798914734976116
4,360,0.9727563858032227,0.9792429792429793,0.7979659683727004
8,192,0.9717261791229248,0.9785794813979706,0.7672264720536943
8,256,0.9747023582458496,0.9807037457434733,0.7987764253683536
8,300,0.9702380895614624,0.9774266365688488,0.7394486942759166
8,360,0.9747023582458496,0.9807909604519774,0.7989725037997261
