pornografi,sara,radikalisme,pencemaran_nama_baik,Count
0,0,0,0,1561
1,0,0,0,1297
0,0,1,0,789
0,1,1,1,606
0,1,0,0,498
0,1,0,1,334
0,0,0,1,300
1,0,0,1,200
0,1,1,0,79
0,0,1,1,70
1,1,0,1,41
1,0,1,1,9
1,1,0,0,6
1,1,1,0,5
1,0,1,0,2
1,1,1,1,1
