Data Used,Accuracy,F1 Micro,F1 Macro,Sampling Duration
25,0.81,0.9722222222222222,0.6532843428612597,0.0
63,0.81,0.9722222222222222,0.6532843428612597,8.322610855102539
97,0.81,0.9722222222222222,0.6532843428612597,7.477752685546875
128,0.81,0.9722222222222222,0.6532843428612597,6.814621448516846
156,0.83,0.9746835443037974,0.6549595805112519,6.170997142791748
181,0.84,0.9770992366412214,0.7222537267342298,5.596544981002808
203,0.85,0.9783989834815755,0.7666981711786742,5.094476699829102
223,0.84,0.9770992366412214,0.7657043017835745,4.650430679321289
241,0.87,0.9809885931558936,0.7994270293265268,4.2021777629852295
250,0.87,0.9809402795425667,0.7993229927056363,3.847059726715088
265,0.84,0.9758576874205843,0.6557002322848127,3.5742123126983643
279,0.85,0.975796178343949,0.7784481933476908,3.2349483966827393
292,0.87,0.9785082174462705,0.767680997580495,3.011953592300415
300,0.87,0.979746835443038,0.781569886469384,2.7485198974609375
310,0.86,0.9783989834815755,0.780471330286082,2.5341908931732178
320,0.87,0.9796954314720812,0.7814658498484933,2.305401086807251
330,0.87,0.9796954314720812,0.7814658498484933,2.1062874794006348
340,0.86,0.9796954314720812,0.767680997580495,1.8932781219482422
350,0.87,0.9796954314720812,0.7814658498484933,1.714806079864502
360,0.87,0.9796954314720812,0.7814658498484933,1.4460713863372803
370,0.87,0.9784537389100126,0.7675769609596045,1.2148137092590332
380,0.88,0.9822335025380711,0.8003064003176297,0.9710590839385986
390,0.85,0.9783439490445859,0.7973226522221498,0.6960718631744385
400,0.85,0.9770992366412214,0.7507094255241773,0.5076382160186768
