Data Used,Accuracy,F1 Micro,F1 Macro,Sampling Duration
25,0.81,0.9722222222222222,0.6532843428612597,0.0
63,0.81,0.9722222222222222,0.6532843428612597,2.918513059616089
97,0.81,0.9722222222222222,0.6532843428612597,2.651397943496704
128,0.81,0.9722222222222222,0.6532843428612597,2.474107503890991
156,0.82,0.9746192893401016,0.6548401347396323,2.255953073501587
181,0.82,0.9731800766283526,0.6535880911147073,2.0589823722839355
203,0.84,0.975796178343949,0.6555870600675632,1.903451681137085
223,0.83,0.975796178343949,0.6555870600675632,1.7570569515228271
241,0.83,0.9758576874205843,0.6557002322848127,1.5865681171417236
250,0.82,0.9745547073791349,0.6547180346175321,1.4979329109191895
265,0.83,0.9758576874205843,0.6557002322848127,1.4140806198120117
279,0.83,0.9758576874205843,0.6557002322848127,1.4103131294250488
292,0.84,0.975796178343949,0.7497036046031021,1.1894993782043457
300,0.85,0.9770992366412214,0.7794655093650068,1.1373751163482666
310,0.84,0.975796178343949,0.7497036046031021,1.0320656299591064
320,0.85,0.9783989834815755,0.7666981711786742,0.995441198348999
330,0.86,0.9796954314720812,0.767680997580495,0.9374797344207764
340,0.85,0.9770992366412214,0.7794655093650068,0.8336188793182373
350,0.85,0.9770992366412214,0.7794655093650068,0.8231520652770996
360,0.87,0.979746835443038,0.781569886469384,0.6923737525939941
370,0.83,0.9744897959183674,0.6545931906724635,0.6249372959136963
380,0.86,0.9796954314720812,0.7814658498484933,0.49704957008361816
390,0.86,0.9784537389100126,0.7805870600675631,0.4246675968170166
400,0.85,0.9784537389100126,0.7668113433959237,0.3562350273132324
