Data Used,Accuracy,F1 Micro,F1 Macro,Sampling Duration
25,0.77,0.9670886075949366,0.6503464499180786,0.0
63,0.8,0.9707750952986023,0.6528661827656802,3.409313678741455
97,0.77,0.9670886075949366,0.6503464499180786,3.419593095779419
128,0.78,0.9683143219264893,0.6511771310766286,3.53555965423584
156,0.78,0.9707750952986023,0.7469429471814277,3.5012705326080322
181,0.8,0.9731113956466069,0.65433489285508,3.44006085395813
203,0.8,0.9707006369426753,0.7183715186099991,3.4564263820648193
223,0.81,0.9733163913595935,0.7488261863528026,3.488978624343872
241,0.8,0.9720101781170484,0.7478096652091627,3.4091567993164062
250,0.82,0.9744897959183674,0.7645593044588019,3.502774953842163
265,0.78,0.9684741488020177,0.7345104644099618,3.488115072250366
279,0.79,0.97084917617237,0.7360538648297669,3.4458625316619873
292,0.81,0.9746192893401016,0.8154928530194693,3.454728126525879
300,0.8,0.971938775510204,0.7192382366377341,3.479947566986084
310,0.8,0.970625798212005,0.7466163739147152,3.4697062969207764
320,0.81,0.9729729729729729,0.6540644398462903,3.4842636585235596
330,0.8,0.971938775510204,0.6535880911147073,3.3967583179473877
340,0.79,0.9695431472081218,0.7460859675584987,3.459329605102539
350,0.8,0.9730423620025673,0.7372577171572147,3.5053040981292725
360,0.81,0.9745547073791347,0.7646992022258184,3.4267454147338867
370,0.81,0.9718670076726342,0.7624893897877311,3.4305760860443115
380,0.79,0.970625798212005,0.76161458634167,3.3324968814849854
390,0.8,0.9720812182741118,0.7629737763928269,3.3191750049591064
400,0.81,0.973384030418251,0.7947198081388587,3.3577115535736084
