Data Used,Aspect Accuracy,Aspect F1 Micro,Aspect F1 Macro,Sentiment Accuracy,Sentiment F1 Micro,Sentiment F1 Macro,Accuracy,F1 Micro,F1 Macro,Sampling Duration
142,0.8506944179534912,0.9136546184738957,0.9092233954809416,0.7756097316741943,0.775609756097561,0.7398548925487598,0.8418564200401306,0.8418563922942205,0.41307827257336616,0.0
357,0.9260416626930237,0.9550727694579203,0.9518098546163444,0.8857465982437134,0.8857466063348415,0.8469673363259751,0.9169877171516418,0.9169877408056042,0.68212280985011,74.89529347419739
550,0.9435763955116272,0.9654512597002232,0.9626168121974947,0.8957247138023376,0.8957247132429614,0.859888729151326,0.9357268214225769,0.9357267950963222,0.7616705759567935,82.43359708786011
724,0.949999988079071,0.9692767228504374,0.9667338289568338,0.9052419066429138,0.905241935483871,0.8681798390699305,0.943082332611084,0.9430823117338003,0.7872596212661624,77.10121130943298
880,0.9553819298744202,0.9723923085186379,0.9695005826511496,0.8958333134651184,0.8958333333333334,0.8614602962574244,0.9488616585731506,0.9488616462346761,0.831910909081769,71.69965863227844
1021,0.956250011920929,0.9728973972897397,0.9701546395171876,0.8979400992393494,0.8979400749063671,0.8676388824142727,0.9495621919631958,0.9495621716287215,0.8352676678089208,65.276540517807
1148,0.9604166746139526,0.9755207214945244,0.9733513360356868,0.912630558013916,0.912630579297246,0.8828369905956113,0.9542907476425171,0.9542907180385288,0.8405044060117628,59.71173810958862
1262,0.9619791507720947,0.9764186497254227,0.9741922833471616,0.9155844449996948,0.9155844155844156,0.891850474996665,0.9560420513153076,0.9560420315236428,0.8524916166845857,53.95473265647888
1365,0.9592013955116272,0.9747175901022055,0.9722489503100057,0.9066293239593506,0.9066293183940243,0.8791087231352719,0.953415036201477,0.9534150612959719,0.843273005318778,48.17633366584778
1427,0.9614583253860474,0.9760981912144703,0.9738645162174508,0.9117920398712158,0.9117920148560819,0.8847083481229823,0.9560420513153076,0.9560420315236428,0.8526970059003345,43.7362380027771
1513,0.9602430462837219,0.9752939907217607,0.9725395483444131,0.9032846689224243,0.9032846715328468,0.8749090157332793,0.9549912214279175,0.9549912434325742,0.8566604992040165,41.194881200790405
1590,0.9630208611488342,0.977054831412259,0.9748947495166537,0.9131238460540771,0.9131238447319778,0.8845905954974582,0.957618236541748,0.9576182136602451,0.8535162108198449,36.976033449172974
1660,0.9624999761581421,0.9767491926803015,0.9747348038902007,0.9135687947273254,0.9135687732342007,0.8865636381979957,0.9563922882080078,0.9563922942206654,0.8679590008717384,33.36149597167969
1712,0.9638888835906982,0.9775668679896463,0.9756770437224989,0.9139981865882874,0.9139981701738334,0.8884597012332813,0.9579684734344482,0.9579684763572679,0.8720227459196643,30.31328320503235
1770,0.9638888835906982,0.977494048907163,0.975028823965839,0.9011576175689697,0.9011576135351737,0.8741805276720476,0.957092821598053,0.9570928196147109,0.8719288000851435,28.02748155593872
1822,0.9654513597488403,0.9784934615800281,0.9762630129113514,0.9055755138397217,0.9055755395683454,0.8757236415655244,0.9591944217681885,0.9591943957968476,0.8672431953508694,25.55578589439392
1872,0.9631944298744202,0.9771600948071536,0.9747581224003585,0.9104340076446533,0.9104339796860572,0.8822283682870529,0.957092821598053,0.9570928196147109,0.8637278003833131,23.344046354293823
1922,0.9645833373069763,0.9779840276278868,0.9758316712834748,0.9108280539512634,0.910828025477707,0.8836710446729457,0.9586690068244934,0.9586690017513135,0.8556515376690106,21.308241844177246
1972,0.964756965637207,0.9781273569658442,0.9761257787279964,0.919741690158844,0.9197416974169742,0.8949011898672391,0.9597197771072388,0.9597197898423818,0.8709055061118848,18.182278633117676
1997,0.9638888835906982,0.9775765416127642,0.9755854724672026,0.9137614965438843,0.9137614678899083,0.8854345570344927,0.9583187103271484,0.9583187390542907,0.8590088893799059,16.17319130897522
2047,0.9644097089767456,0.9778928070743018,0.975829693362245,0.9157509207725525,0.9157509157509157,0.8910444394315362,0.9590192437171936,0.9590192644483363,0.8766087067226968,14.76297116279602
2097,0.9670138955116272,0.9794993526111351,0.9774339721302369,0.9180327653884888,0.9180327868852459,0.8921367446734195,0.9612959623336792,0.9612959719789842,0.8773771406886673,12.825649738311768
2147,0.964756965637207,0.9781132075471698,0.9760568559233775,0.9165137410163879,0.91651376146789,0.8907910629016613,0.9597197771072388,0.9597197898423818,0.8671331429340772,10.379473447799683
2197,0.9645833373069763,0.9779650032404407,0.975457067610255,0.912375807762146,0.912375790424571,0.8870732474263124,0.9595446586608887,0.9595446584938705,0.8770015817966161,8.504785299301147
2247,0.9668402671813965,0.9794114476662714,0.9770213723723566,0.9227941036224365,0.9227941176470589,0.8994773243228975,0.9616462588310242,0.961646234676007,0.8903325986978414,6.0637288093566895
2283,0.9652777910232544,0.9784668389319551,0.9764601406871101,0.9165120720863342,0.9165120593692022,0.8906826755364459,0.9591944217681885,0.9591943957968476,0.8711561463614667,0.0
