strategy,precision,recall,tp_count,fp_count,fn_count,all_count,nonzero_count
lc,96.7,97.69,381,13,9,82,82
mc,96.97,98.46,384,12,6,84,84
kmeans,96.95,97.95,382,12,8,81,81
coreset,97.43,97.18,379,10,11,81,81
comal,95.5,97.95,382,18,8,77,77
besra,96.95,97.69,381,12,9,81,81
random,96.46,97.69,381,14,9,78,78
besra,96.95,97.69,381,12,9,81,81
passive,96.96,98.21,383,12,7,83,83
