Data Used,Aspect Accuracy,Aspect F1 Micro,Aspect F1 Macro,Sentiment Accuracy,Sentiment F1 Micro,Sentiment F1 Macro,Accuracy,F1 Micro,F1 Macro,Sampling Duration
54,0.796875,0.8857262452909167,0.8841578614588069,0.8571428656578064,0.8571428571428571,0.825,0.7939814925193787,0.7939814814814815,0.3198543922930102,0.0
298,0.9434523582458496,0.9648798521256933,0.9628562062948615,0.9008620977401733,0.9008620689655172,0.8878591093457747,0.9282407164573669,0.9282407407407406,0.8473867092002213,9.543096542358398
468,0.9657738208770752,0.978644382544104,0.9776757031960259,0.9423868060112,0.9423868312757202,0.9370093319508221,0.9560185074806213,0.9560185185185186,0.9103987455504586,13.31836462020874
540,0.9657738208770752,0.9784037558685447,0.9769483518603388,0.9473684430122375,0.9473684210526315,0.9409001460039357,0.957561731338501,0.9575617283950617,0.9186736481066311,10.581786870956421
638,0.9672619104385376,0.9794392523364486,0.978566550269139,0.9455252885818481,0.9455252918287937,0.9395172135556751,0.9591049551963806,0.9591049382716049,0.917772787459087,8.876185178756714
648,0.9672619104385376,0.9794392523364486,0.9784242263284528,0.957198441028595,0.9571984435797666,0.9520790602274847,0.9606481194496155,0.960648148148148,0.9253213043026928,6.555872440338135
713,0.9657738208770752,0.9783834586466166,0.9770312171726204,0.9442379474639893,0.9442379182156134,0.937209193756711,0.9567901492118835,0.95679012345679,0.9178121232769052,6.092286109924316
756,0.9657738208770752,0.978444236176195,0.977286352337341,0.9505703449249268,0.9505703422053232,0.9443386243386243,0.9583333134651184,0.9583333333333334,0.9208004087911029,4.72197699546814
789,0.9680059552192688,0.9798027242837012,0.9784970528029935,0.9477611780166626,0.9477611940298507,0.9411210846776725,0.959876537322998,0.9598765432098766,0.9259309958155438,3.6075963973999023
814,0.972470223903656,0.982653539615565,0.9816381669556516,0.9583333134651184,0.9583333333333334,0.9532570380028007,0.966821014881134,0.9668209876543209,0.9381576592185902,2.906299591064453
839,0.9694940447807312,0.9807782466010314,0.9796634056751424,0.939393937587738,0.9393939393939394,0.9314241184492499,0.959876537322998,0.9598765432098766,0.9221389715168263,2.1454195976257324
864,0.96875,0.980373831775701,0.9794927292136967,0.9494163393974304,0.9494163424124513,0.9436831015592078,0.9614197611808777,0.9614197530864198,0.924251772390646,1.5608940124511719
