Data Used,Aspect Accuracy,Aspect F1 Micro,Aspect F1 Macro,Sentiment Accuracy,Sentiment F1 Micro,Sentiment F1 Macro,Accuracy,F1 Micro,F1 Macro,Sampling Duration
54,0.7976190447807312,0.8857142857142857,0.8839553424494353,0.8399999737739563,0.8399999999999999,0.4565217391304348,0.7947530746459961,0.7947530864197532,0.3169049859298243,0.0
135, 0.8802083134651184, 0.9263157894736842, 0.9222203899304727, 0.8450704216957092, 0.8450704225352113, 0.7828746177370031,0.8618826866149902,0.8618827160493828,0.6516738383971102,4.036345481872559
208, 0.9174107313156128, 0.9488714877936434, 0.9471046634197281, 0.9159291982650757, 0.915929203539823, 0.9028220969968542,0.9020061492919922,0.9020061728395062,0.7512193101411343,5.780041694641113
274, 0.9471726417541504, 0.9670839128419101, 0.9654256518184336, 0.9205020666122437, 0.9205020920502092, 0.9086777275012567,0.9359567761421204,0.9359567901234568,0.8613589104307775,5.468984603881836
333, 0.953125, 0.9705744978981784, 0.9686470212763187, 0.929411768913269, 0.9294117647058824, 0.9162775426820371,0.9390432238578796,0.9390432098765432,0.8760194153703488,5.367152690887451
387, 0.9523809552192688, 0.9702048417132216, 0.9681404340792463, 0.9556451439857483, 0.9556451612903226, 0.9503485430355096,0.9405864477157592,0.9405864197530864,0.8851761930526961,5.052003860473633
435, 0.9575892686843872, 0.9732770745428972, 0.9713515582871378, 0.9429658055305481, 0.9429657794676806, 0.9346128984138034,0.94907408952713,0.949074074074074,0.9090879172590972,4.711578130722046
478, 0.9620535969734192, 0.9761570827489482, 0.9746959718207034, 0.9455252885818481, 0.9455252918287937, 0.938102119460501,0.9537037014961244,0.9537037037037036,0.9116268517534276,4.418694019317627
517, 0.9680059552192688, 0.9798783341132429, 0.9786739528785455, 0.9459459185600281, 0.9459459459459459, 0.9400859220092531,0.9583333134651184,0.9583333333333334,0.9168278516555216,4.103303670883179
540, 0.9620535969734192, 0.9761570827489482, 0.9747385143014157, 0.9457364082336426, 0.945736434108527, 0.9385923155389323,0.9521604776382446,0.9521604938271604,0.9067682682902234,3.794858694076538
573, 0.9657738208770752, 0.9785247432306254, 0.9772173460798618, 0.9527559280395508, 0.952755905511811, 0.9475531695230228,0.9560185074806212,0.9560185185185184,0.9145282115055334,3.8965892791748047
603, 0.9657738208770752, 0.9784644194756554, 0.9771543910230153, 0.9501915574073792, 0.9501915708812261, 0.9444362564480471,0.9583333134651184,0.9583333333333334,0.9243445737895154,3.4459404945373535
630, 0.96875, 0.9803001876172608, 0.9791289080762522, 0.9396226406097412, 0.939622641509434, 0.9323289070480082,0.9583333134651184,0.9583333333333334,0.9182394321465625,3.2026286125183105
648, 0.9642857313156128, 0.9775070290534209, 0.976007890626425, 0.9503816962242126, 0.950381679389313, 0.9442325010233319,0.94907408952713,0.949074074074074,0.8985893939530061,3.038198947906494
673, 0.9642857313156128, 0.9775280898876404, 0.9760867445463034, 0.9501915574073792, 0.9501915708812261, 0.9427679851564477,0.9444444179534912,0.9444444444444444,0.8804014968203293,2.8562045097351074
698, 0.9672619104385376, 0.9794584500466853, 0.9782397957546415, 0.9566929340362549, 0.9566929133858267, 0.9517901820377879,0.9506173133850098,0.9506172839506172,0.8894622400621864,2.6736910343170166
723, 0.965029776096344, 0.9781699953553182, 0.9770174665192862, 0.9590163826942444, 0.9590163934426229, 0.9546130952380953,0.948302447795868,0.9483024691358024,0.8789980564456922,2.569211006164551
748, 0.9665178656578064, 0.9790600279199628, 0.9780486926982083, 0.9637096524238586, 0.9637096774193549, 0.9596113131751804,0.9537037014961244,0.9537037037037036,0.8998667346842054,2.315426826477051
756, 0.96875, 0.9803001876172608, 0.978866902175319, 0.9469696879386902, 0.946969696969697, 0.9396394042330807,0.957561731338501,0.9575617283950616,0.9169010872633904,2.2091894149780273
781, 0.9702380895614624, 0.9813084112149533, 0.9803531733078622, 0.9533073902130127, 0.953307392996109, 0.9478701825557809,0.9521604776382446,0.9521604938271604,0.9010573816291862,2.1192359924316406
806, 0.9680059552192688, 0.9799159271368519, 0.9788960167559698, 0.94921875, 0.94921875, 0.9429267205158547,0.9513888955116272,0.9513888888888888,0.8923031550708133,1.9013302326202393
831, 0.9672619104385376, 0.9793427230046947, 0.9779294509189875, 0.9438202381134033, 0.9438202247191011, 0.9362514922403502,0.9537037014961244,0.9537037037037036,0.9060271761939744,1.6541824340820312
856, 0.9702380895614624, 0.9812558575445174, 0.9800380882849423, 0.9429658055305481, 0.9429657794676806, 0.936137147297363,0.9567901492118835,0.95679012345679,0.9108994167447751,1.573328971862793
864, 0.9680059552192688, 0.9798783341132429, 0.9785926501295285, 0.942307710647583, 0.9423076923076923, 0.9350335659909046,0.9544752836227416,0.9544753086419752,0.9013976798936844,1.2716143131256104
