Data Used,Accuracy,F1 Micro,F1 Macro,Sampling Duration
777,0.8812500238418579,0.7329585382993675,0.7279038801429301,0.0
1322,0.885937511920929,0.742231638418079,0.7391823251960886,0.0003292560577392578
1812,0.8899999856948853,0.7491090520313616,0.7403896498406686,0.0003001689910888672
2253,0.8951562643051147,0.7607843137254903,0.7584601735848626,0.00028777122497558594
2650,0.897656261920929,0.7648114901256733,0.7568494869532724,0.0002875328063964844
3007,0.9003124833106995,0.7703383729301656,0.769349491087976,0.00026607513427734375
3329,0.9034374952316284,0.7726269315673289,0.7628958476035973,0.00021505355834960938
3618,0.90234375,0.7704737421961073,0.7680961357580791,0.00019359588623046875
3878,0.9012500047683716,0.7811634349030471,0.7782063970245481,0.00018143653869628906
3886,0.9004687666893005,0.7745132743362831,0.7715681758901544,0.06111717224121094
4120,0.9024999737739563,0.7828810020876826,0.7813059674619194,0.00022125244140625
4330,0.9003124833106995,0.7804542326221611,0.7788728032720706,0.00018358230590820312
4530,0.9012500047683716,0.7780898876404494,0.778580124833497,0.0001392364501953125
4663,0.9045312404632568,0.7827941699253467,0.7812097486840632,0.06887173652648926
4863,0.9064062237739563,0.7809872029250456,0.7794063807372319,0.0001633167266845703
5063,0.9034374952316284,0.7876288659793814,0.7869167600600102,0.00027251243591308594
5263,0.9048437476158142,0.7811713977721882,0.7767460191784813,0.00017380714416503906
5441,0.9032812714576721,0.7830354013319313,0.7785067367312672,0.0833749771118164
5641,0.9045312404632568,0.7908250599109894,0.7906125221628175,0.00017070770263671875
5841,0.9034374952316284,0.7876288659793814,0.7876032371259607,0.00016188621520996094
6041,0.9040625095367432,0.7868055555555556,0.7843878530730332,0.0001773834228515625
6218,0.9084374904632568,0.785662033650329,0.7799772912167869,0.08843493461608887
