Data Used,Aspect Accuracy,Aspect F1 Micro,Aspect F1 Macro,Sentiment Accuracy,Sentiment F1 Micro,Sentiment F1 Macro,Accuracy,F1 Micro,F1 Macro,Sampling Duration
142,0.8506944179534912,0.9136546184738957,0.9092233954809416,0.7756097316741943,0.775609756097561,0.7398548925487598,0.8418564200401306,0.8418563922942205,0.4130782725733661,0.0
785, 0.9541666507720947, 0.9716798970178073, 0.9687426168308184, 0.8984674215316772, 0.8984674329501916, 0.8659820282413351,0.9472854733467102,0.9472854640980736,0.8255192930194297,52.15612316131592
1235, 0.9609375, 0.9757464697639323, 0.9730879658104914, 0.8953167796134949, 0.8953168044077136, 0.8663475699558174,0.9530647993087769,0.9530647985989492,0.8440111135010367,52.526196241378784
1427, 0.9605903029441833, 0.9755466982656469, 0.9729899861267866, 0.907663881778717, 0.9076638965835642, 0.8840183000488344,0.953940451145172,0.953940455341506,0.8621810794329067,37.99146103858948
1684, 0.9644097089767456, 0.9779166217817516, 0.9757574202022579, 0.9215143322944641, 0.9215143120960295, 0.8991497487371123,0.9591944217681884,0.9591943957968476,0.8787447623608255,31.184547424316406
1712, 0.9644097089767456, 0.9778689409478569, 0.9754323841955796, 0.9074410200119019, 0.9074410163339383, 0.8779066736183525,0.9586690068244934,0.9586690017513136,0.8774616594286689,22.16430163383484
1884, 0.9659722447395325, 0.9789473684210526, 0.9770510113217773, 0.9289772510528564, 0.9289772727272727, 0.9077016666142244,0.9600700736045836,0.9600700525394044,0.8651458661587528,21.01782250404358
1997, 0.9645833373069763, 0.9780361757105942, 0.976040214817535, 0.9192950129508972, 0.9192949907235622, 0.8934398941966066,0.9590192437171936,0.9590192644483364,0.8548957370614317,15.05220627784729
2083, 0.9670138955116272, 0.9794772089004106, 0.9771516980741989, 0.916967511177063, 0.9169675090252707, 0.8923321968304667,0.9618213772773744,0.9618213660245184,0.8914754637606995,10.888318061828612
2144, 0.9645833373069763, 0.9780125026945462, 0.975970218857063, 0.9209558963775635, 0.9209558823529411, 0.8975544811155489,0.9595446586608888,0.9595446584938704,0.8818931126094378,8.078600883483887
2194, 0.965624988079071, 0.9785992217898832, 0.9762726341607744, 0.9110512137413025, 0.9110512129380054, 0.8864572438417426,0.9595446586608888,0.9595446584938704,0.8697864744577544,5.8841047286987305
2244, 0.9644097089767456, 0.9779261333046194, 0.9759048932706964, 0.9184430241584778, 0.9184430027803522, 0.8933976414374118,0.9586690068244934,0.9586690017513136,0.8723793176645096,4.075971603393555
2283, 0.9663194417953491, 0.9790360925005402, 0.9767071363433825, 0.9127697944641113, 0.9127697841726619, 0.8875028029390446,0.960595428943634,0.9605954465849388,0.865936766601328,2.199855089187622
