Data Used,Aspect Accuracy,Aspect F1 Micro,Aspect F1 Macro,Sentiment Accuracy,Sentiment F1 Micro,Sentiment F1 Macro,Accuracy,F1 Micro,F1 Macro,Sampling Duration
142,0.8447916507720947,0.9096787229743383,0.9015906747158441,0.6659619212150574,0.6659619450317125,0.6563764437578165,0.828546404838562,0.8285464098073556,0.40608546209431023,0.0
357,0.925694465637207,0.9548332629801604,0.9509272479920412,0.8731762170791626,0.8731762065095399,0.8287019472067918,0.9159369468688965,0.915936952714536,0.6768131687314022,55.72192406654358
550,0.9416666626930237,0.964209629314018,0.9604543127840957,0.8895705342292786,0.8895705521472392,0.8599121466768526,0.9327495694160461,0.9327495621716289,0.771782293268295,68.40518736839294
724,0.9519097208976746,0.9703521352884512,0.9672939979902647,0.908203125,0.908203125,0.8782358775072359,0.9464098215103149,0.9464098073555165,0.8105030856295586,64.92176055908203
880,0.9555555582046509,0.9724967769660507,0.9696276076845682,0.9017013311386108,0.9017013232514177,0.877275870530237,0.9483362436294556,0.9483362521891416,0.8308637114260536,58.840452671051025
1021,0.9565972089767456,0.9732848899337466,0.9708682589252424,0.9285714030265808,0.9285714285714286,0.9059930468843098,0.9514886140823364,0.9514886164623467,0.8173451511834708,53.70458173751831
1148,0.9598958492279053,0.9751639608644233,0.9725664521707374,0.9116541147232056,0.9116541353383458,0.8850327374383874,0.9539404511451721,0.9539404553415061,0.8452052206445779,48.69786262512207
1262,0.9602430462837219,0.9753683984080886,0.9729329682600424,0.9147940278053284,0.9147940074906367,0.8907537237683828,0.9542907476425171,0.9542907180385288,0.8655656485789903,44.359652280807495
1365,0.9630208611488342,0.9770893836721523,0.9750440654655709,0.9204864501953125,0.920486435921422,0.8955907142208746,0.957618236541748,0.9576182136602454,0.862331907246703,39.769298791885376
1427,0.9618055820465088,0.9763033175355451,0.974096803139996,0.9094269871711731,0.9094269870609982,0.8819513715710723,0.9556917548179626,0.95569176882662,0.8487978395264332,36.55341839790344
1513,0.9630208611488342,0.977064714116507,0.9748866825293747,0.9165120720863342,0.9165120593692022,0.8906826755364459,0.9572679400444031,0.9572679509632224,0.8616738937263557,33.99878978729248
1590,0.9626736044883728,0.9768343928455985,0.974949247844569,0.910516619682312,0.9105166051660517,0.882544416704367,0.9567425847053528,0.9567425569176882,0.8655396788556876,30.38989233970642
1660,0.9633680582046509,0.9772555783119543,0.9753844898832777,0.9118457436561584,0.9118457300275482,0.8832432432432432,0.957618236541748,0.9576182136602451,0.8702602021182428,27.536884307861328
1712,0.9654513597488403,0.9785166792615784,0.9764373151612435,0.9165154099464417,0.9165154264972777,0.8923645320197044,0.9600700736045837,0.9600700525394045,0.8826345608901031,25.034729957580566
1770,0.9644097089767456,0.977883266803323,0.9759168396485565,0.9088423252105713,0.9088422971741112,0.8812215234828404,0.9579684734344482,0.9579684763572679,0.868349766818044,22.959388256072998
1822,0.9624999761581421,0.97665874216555,0.9744002377056417,0.9073740839958191,0.9073741007194245,0.8820819936601672,0.9569177031517029,0.9569176882661996,0.8851958192828674,20.37920904159546
1872,0.9631944298744202,0.9771305285868392,0.9750711670304497,0.9141552448272705,0.9141552511415525,0.8882769489935917,0.9577933549880981,0.9577933450087566,0.8703707324379852,18.611024141311646
1922,0.9630208611488342,0.9770696522768866,0.9750105843306478,0.917286217212677,0.9172862453531598,0.8914426215013076,0.9574430584907532,0.9574430823117337,0.8492794125683449,16.667606353759766
1972,0.964930534362793,0.9782702237521514,0.9762168154640507,0.9280374050140381,0.9280373831775701,0.9058979668524189,0.9598948955535889,0.959894921190893,0.8741072810599156,15.241425275802612
1997,0.9644097089767456,0.9778737182946573,0.9757486698265765,0.9191644191741943,0.9191643960036331,0.8966366211148675,0.9588441252708435,0.9588441330998249,0.8658689422987017,13.275478839874268
2047,0.9654513597488403,0.978562964558871,0.9764827794078533,0.9178208708763123,0.9178208679593721,0.8921972251581191,0.9595446586608887,0.9595446584938705,0.8725466131285741,11.877418994903564
2097,0.9661458134651184,0.9789757412398923,0.9770724102762667,0.9184234738349915,0.918423464711274,0.8942042739298559,0.9600700736045837,0.9600700525394045,0.8662213410979209,9.856144905090332
2147,0.9664930701255798,0.979168915272531,0.9772224474101694,0.918181836605072,0.9181818181818182,0.8941656403940887,0.9607706069946289,0.9607705779334502,0.8834862963957837,8.006309032440186
2197,0.9664930701255798,0.9791554163516579,0.9770527997205182,0.9150090217590332,0.9150090415913202,0.8896741714208096,0.960595428943634,0.9605954465849387,0.8887012694213634,6.078143835067749
2247,0.965624988079071,0.9786269430051814,0.9762481282436815,0.912806510925293,0.9128065395095368,0.8855895877172473,0.9598948955535889,0.9598949211908933,0.8817597567013479,4.184035778045654
2283,0.9657986164093018,0.9787646868599763,0.9768565147571395,0.9191176295280457,0.9191176470588235,0.8961111111111111,0.9600700736045837,0.9600700525394045,0.8864414869541498,2.221954584121704
