Batch Size,Sequence Length,Aspect Accuracy,Aspect F1 Micro,Aspect F1 Macro,Sentiment Accuracy,Sentiment F1 Micro,Sentiment F1 Macro,Accuracy,F1 Micro,F1 Macro
8,24,0.9416666626930237,0.9641867405670432,0.9612533566702506,0.8809766173362732,0.8809766022380466,0.8428882304486274,0.9336252212524414,0.9336252189141858,0.780283237980011
8,32,0.9538194537162781,0.971502035568888,0.9690595908992086,0.9069767594337463,0.9069767441860465,0.8775358843394463,0.9474605917930603,0.9474605954465849,0.8231333681744475
8,40,0.9605903029441833,0.9755256064690028,0.9731003284160339,0.9110907316207886,0.91109074243813,0.8857264721920775,0.9553415179252625,0.955341506129597,0.8581319561518004
8,48,0.9684028029441833,0.9803752426137589,0.9783597768169073,0.9275893568992615,0.927589367552704,0.9054423656907264,0.9602224440574646,0.9632224168126093,0.8905509406972048
16,24,0.9420138597488403,0.9644226672347678,0.9613048349873313,0.8874104619026184,0.887410440122825,0.8489486703772418,0.9352014064788818,0.9352014010507883,0.794545020838964
16,32,0.9534721970558167,0.971263135320609,0.9686131193150601,0.9019230604171753,0.9019230769230769,0.8724386724386726,0.9474605917930603,0.9474605954465849,0.8365668413065517
16,40,0.9604166746139526,0.9754257383056694,0.9731821184311338,0.9016544222831726,0.9016544117647058,0.8723932728490424,0.9539404511451721,0.9539404553415061,0.8533023258761043
16,48,0.9673610925674438,0.9796932382804062,0.977535491342629,0.9150857925415039,0.9150858175248419,0.889208538112314,0.9618213772773743,0.9618213660245184,0.8917711761157978
