Data Used,Aspect Accuracy,Aspect F1 Micro,Aspect F1 Macro,Sentiment Accuracy,Sentiment F1 Micro,Sentiment F1 Macro,Accuracy,F1 Micro,F1 Macro,Sampling Duration
142,0.8470486402511597,0.9096688198503025,0.9012936102535386,0.9134328365325928,0.9134328358208955,0.9108519307003377,0.8457092642784119,0.8457092819614711,0.49080540188141464,0.0
357,0.9255208373069763,0.954636776990589,0.9508363998585516,0.8736951947212219,0.8736951983298538,0.844170055452865,0.9220665693283081,0.9220665499124344,0.7404916537540026,20.32175064086914
550,0.9373263716697693,0.9614933333333333,0.9582158570123266,0.8743817806243896,0.874381800197824,0.8404936860608847,0.9318739175796509,0.9318739054290717,0.7674185169255419,29.209321975708008
724,0.9449653029441833,0.966222695791156,0.9635352541543897,0.8935960531234741,0.8935960591133004,0.8589581274703557,0.9416812658309937,0.9416812609457093,0.8251479514716902,34.11915993690491
880,0.9477430582046509,0.9678727719073541,0.9652601839447946,0.90625,0.90625,0.8820276497695853,0.9444833397865295,0.9444833625218914,0.8175426911290083,38.93302583694458
1021,0.9494791626930237,0.9689002885540237,0.9665161822862313,0.9019230604171753,0.9019230769230769,0.8718196581857551,0.9464098215103149,0.9464098073555165,0.8176465079522212,42.95666766166687
1148,0.9527778029441833,0.970902866923406,0.968537766085662,0.9011516571044922,0.9011516314779271,0.8711193568336426,0.9469351768493652,0.9469352014010507,0.82887814804076,46.340394496917725
1262,0.9546874761581421,0.9718961989878323,0.9691448727062619,0.8917197585105896,0.89171974522293,0.8628820960698689,0.9497373104095459,0.9497373029772328,0.8427500495255652,48.21779537200928
1365,0.9576388597488403,0.9736614853195164,0.9706492185883505,0.9027272462844849,0.9027272727272727,0.8770103376102806,0.9521891474723816,0.9521891418563924,0.852420053919776,51.462932109832764
1427,0.9565972089767456,0.9730777514538015,0.9701685178641538,0.9008264541625977,0.9008264462809917,0.875,0.9509631991386414,0.9509632224168125,0.851086219836468,53.302531242370605
1513,0.957118034362793,0.9734722371388681,0.970873834883812,0.8990825414657593,0.8990825688073395,0.8687500273665497,0.953415036201477,0.9534150612959721,0.8428075790518866,54.836533546447754
1590,0.9576388597488403,0.9735816370723258,0.9709322320617361,0.88410884141922,0.8841088674275679,0.8571238510837255,0.950262725353241,0.9502626970227672,0.8323020466574421,57.05909299850464
1660,0.9567708373069763,0.9732114039806347,0.9704440014418078,0.9099349975585938,0.9099350046425255,0.8851899433911877,0.9546409845352173,0.9546409807355516,0.8512634161967808,58.48615860939026
1712,0.9592013955116272,0.9747121489293017,0.9723172419230444,0.9105990529060364,0.9105990783410138,0.8876937441643323,0.9562171697616577,0.956217162872154,0.8643642897776209,59.88589382171631
1770,0.9574652910232544,0.9737378068388896,0.9715826468008686,0.9092609882354736,0.9092609915809168,0.8819745835538635,0.953415036201477,0.9534150612959719,0.8537353660453271,61.3453414440155
1822,0.9593750238418579,0.9747899159663865,0.9723997435034558,0.9110907316207886,0.91109074243813,0.887926588404738,0.9558668732643127,0.9558669001751314,0.8603112754195201,61.97481632232666
1872,0.9611111283302307,0.9758984290940392,0.973773356103133,0.908265233039856,0.9082652134423251,0.8849071347619761,0.9562171697616577,0.9562171628721542,0.8459113825467691,63.7577018737793
1922,0.9600694179534912,0.9753218884120173,0.973109433491145,0.910614550113678,0.9106145251396648,0.885113210911036,0.9535902142524719,0.9535901926444834,0.8574763822105662,64.61165046691895
1972,0.9583333134651184,0.9740764744005185,0.971736021356573,0.8918918967247009,0.8918918918918919,0.8605854573466858,0.953239917755127,0.9532399299474605,0.8317575911703121,65.92581248283386
1997,0.9590277671813965,0.9746563573883161,0.9723874738509503,0.9110287427902222,0.9110287303058388,0.8837065179317221,0.9560420513153076,0.9560420315236426,0.8663090139632885,66.60136818885803
2047,0.9605903029441833,0.9755361569134605,0.9731861629037415,0.902662992477417,0.9026629935720845,0.8710810810810812,0.9551663994789124,0.9551663747810858,0.8582168483367024,67.18918323516846
2097,0.9600694179534912,0.9752315313374972,0.9729021507049346,0.9098360538482666,0.9098360655737705,0.8831134896594439,0.957092821598053,0.9570928196147109,0.8613804445307338,68.52159595489502
2147,0.9600694179534912,0.975284762518805,0.9731443716646295,0.913364052772522,0.9133640552995391,0.8874014113740141,0.9572679400444031,0.9572679509632224,0.8727682390277037,70.03652882575989
2197,0.9618055820465088,0.9762572846967407,0.9739424627122123,0.9101633429527283,0.9101633393829401,0.8824601720142343,0.9586690068244934,0.9586690017513135,0.8868023961217155,71.01824951171875
2247,0.9602430462837219,0.9752459193600692,0.9729127235986539,0.8981233239173889,0.8981233243967829,0.8690868115989623,0.9555166363716125,0.9555166374781086,0.8730612388928762,71.56805300712585
2283,0.9614583253860474,0.9761033369214209,0.9737827623268848,0.9086757898330688,0.908675799086758,0.8829948197158537,0.9577933549880981,0.9577933450087566,0.8495332794114117,72.45493459701538
