Data Used,Accuracy,F1 Micro,F1 Macro,Sampling Duration
142,0.8149305555555556,0.8149305555555556,0.3928888888888889,0.0
357,0.8890625,0.8890625,0.634624480371217,8.121956825256348
550,0.9199652777777778,0.9199652777777778,0.773707758450075,6.86041522026062
724,0.9279513888888888,0.9279513888888888,0.7845895716146486,6.531389951705933
880,0.9388888888888889,0.9388888888888889,0.8252718009806738,5.897007942199707
1021,0.9407986111111111,0.9407986111111111,0.836499507042655,5.562954664230347
1148,0.9442708333333333,0.9442708333333333,0.8437071011966412,4.9890220165252686
1262,0.9442708333333333,0.9442708333333333,0.8460924781604636,4.593518018722534
1365,0.9489583333333333,0.9489583333333333,0.8622612758367662,4.3576483726501465
1427,0.9503472222222222,0.9503472222222222,0.8669416584373607,4.1522722244262695
1513,0.9503472222222222,0.9503472222222222,0.8696035158650405,3.8412442207336426
1591,0.9501736111111111,0.9501736111111111,0.8687022513962187,3.55125093460083
1661,0.9493055555555555,0.9493055555555555,0.8586924225027505,3.6555898189544678
1712,0.9524305555555556,0.9524305555555556,0.8728854441740034,3.3222243785858154
1770,0.9508680555555555,0.9508680555555555,0.866913151890552,2.811218738555908
1822,0.9538194444444444,0.9538194444444444,0.8775055633574859,2.9368419647216797
1872,0.9520833333333333,0.9520833333333333,0.8673074478660469,2.675607442855835
1922,0.9543402777777777,0.9543402777777777,0.8776848239611367,2.5866525173187256
1972,0.9543402777777777,0.9543402777777777,0.877180478561843,2.35280442237854
1997,0.9543402777777777,0.9543402777777777,0.8763527310108717,2.50408673286438
2047,0.9545138888888889,0.9545138888888889,0.8754490787613088,2.28717041015625
2097,0.9539930555555556,0.9539930555555556,0.871924178845787,1.9443786144256592
2147,0.9555555555555556,0.9555555555555556,0.8837816840695614,2.2227542400360107
2197,0.9555555555555556,0.9555555555555556,0.8825420646913553,1.7949602603912354
2247,0.9569444444444445,0.9569444444444445,0.8850611828220446,1.8208725452423096
2283,0.9548611111111112,0.9548611111111112,0.8867514707491555,1.3244154453277588
