Data Used,Accuracy,F1 Micro,F1 Macro,Sampling Duration
142,0.8149305555555556,0.8149305555555556,0.3928888888888889,0.0
357,0.9045138888888888,0.9045138888888887,0.6822789749675574,0.0005218982696533203
550,0.9269097222222222,0.9269097222222222,0.7895964605776916,0.00020074844360351562
724,0.9380208333333333,0.9380208333333333,0.8240863929303779,0.00017523765563964844
880,0.9413194444444445,0.9413194444444445,0.8418374702040382,0.00017976760864257812
1021,0.9414930555555555,0.9414930555555555,0.8455386665105334,0.00025272369384765625
1148,0.9449652777777777,0.9449652777777777,0.8491585478930359,0.0001595020294189453
1262,0.9458333333333333,0.9458333333333333,0.8501665856104624,0.0001537799835205078
1365,0.9475694444444445,0.9475694444444445,0.8577742873997166,0.0001595020294189453
1427,0.9479166666666666,0.9479166666666666,0.8616226863715704,0.03675365447998047
1513,0.9494791666666667,0.9494791666666667,0.8607863357770369,0.0001513957977294922
1590,0.9496527777777778,0.9496527777777778,0.867188215454763,0.00016045570373535156
1660,0.9496527777777778,0.9496527777777778,0.8666178918039428,0.00014472007751464844
1712,0.9506944444444444,0.9506944444444444,0.8647060208973635,0.04578256607055664
1770,0.95,0.9500000000000001,0.8601962901885432,0.00011563301086425781
1822,0.9515625,0.9515625,0.8714779925210446,0.00010013580322265625
1872,0.9508680555555555,0.9508680555555555,0.868404183710648,0.0001049041748046875
1922,0.9503472222222222,0.9503472222222222,0.863924772496445,0.00010037422180175781
1972,0.9538194444444444,0.9538194444444444,0.8808537764093111,0.00010991096496582031
1997,0.9539930555555556,0.9539930555555556,0.8782916808399808,0.056006431579589844
2047,0.953125,0.953125,0.881437557884526,0.00010395050048828125
2097,0.9550347222222222,0.9550347222222222,0.8770587801721769,9.942054748535156e-05
2147,0.9536458333333333,0.9536458333333333,0.874720452736061,0.00010371208190917969
2197,0.9541666666666667,0.9541666666666666,0.8771716007864331,0.00012540817260742188
2247,0.9539930555555556,0.9539930555555556,0.8781657003391169,9.417533874511719e-05
2283,0.9559027777777778,0.9559027777777778,0.8854012593659761,0.05433249473571777
