Data Used,Accuracy,F1 Micro,F1 Macro,Sampling Duration
142,0.8090277777777778,0.8090277777777779,0.35189812405303816,0.0
357,0.8977430555555556,0.8977430555555556,0.6951238137721911,16.83464527130127
550,0.9251736111111111,0.9251736111111111,0.7856416162941581,15.920264482498169
724,0.9338541666666667,0.9338541666666667,0.8151451103758022,15.845760107040405
880,0.9425347222222222,0.9425347222222222,0.8417289330041008,14.06868600845337
1021,0.9460069444444444,0.9460069444444444,0.8565455900375237,13.028671264648438
1148,0.9493055555555555,0.9493055555555555,0.8660115583576594,11.436450958251953
1262,0.9508680555555555,0.9508680555555555,0.8688719901495174,10.881563663482666
1365,0.9496527777777778,0.9496527777777778,0.8663848623877789,9.752202033996582
1427,0.9494791666666667,0.9494791666666667,0.8653725387942313,8.84328556060791
1513,0.9522569444444444,0.9522569444444444,0.877969159827285,8.277624130249023
1590,0.9526041666666667,0.9526041666666667,0.8762165449196467,7.481422662734985
1660,0.9520833333333333,0.9520833333333333,0.878334199689805,6.865279674530029
1712,0.9512152777777778,0.9512152777777778,0.864192881479532,6.349463939666748
1770,0.9543402777777777,0.9543402777777777,0.8779944011697705,5.7693562507629395
1822,0.9539930555555556,0.9539930555555556,0.8837598132334145,5.494622468948364
1872,0.95625,0.95625,0.88435252817515,5.047101020812988
1922,0.9541666666666667,0.9541666666666666,0.8742244201297122,4.485162973403931
1972,0.9553819444444445,0.9553819444444445,0.8796599611959225,4.1845550537109375
1997,0.9541666666666667,0.9541666666666666,0.8726994276749173,3.850471258163452
2047,0.9541666666666667,0.9541666666666666,0.8806310123310194,3.524991989135742
2097,0.953125,0.953125,0.8723221635746575,3.1403214931488037
2147,0.9555555555555556,0.9555555555555556,0.8813290506205901,2.8219385147094727
2197,0.9557291666666666,0.9557291666666666,0.8870189987664981,2.3511898517608643
2247,0.9555555555555556,0.9555555555555556,0.8775829301629052,1.8868279457092285
2283,0.9557291666666666,0.9557291666666666,0.8842823027460751,1.5894598960876465
