Data Used,Accuracy,F1 Micro,F1 Macro
658,0.8810763955116272,0.6072086831865656,0.31799129361933803
1646,0.8975694179534912,0.6797829036635007,0.4716513446119668
2535,0.9028087854385376,0.7085618666914567,0.5224931007941407
3335,0.9048548936843872,0.7271757489554627,0.5576984274602116
4055,0.9129464030265808,0.7353440150801132,0.5912629777011849
4703,0.9106522798538208,0.733542899408284,0.5737185356181351
5287,0.9091951847076416,0.7459890729338304,0.6146346099933148
5812,0.9149925708770752,0.7498631636562672,0.6163029931249979
6285,0.9180307388305664,0.7558633425669437,0.6289201202193879
6584,0.9162636399269104,0.7533108046396931,0.6111506418541105
6980,0.9179997444152832,0.7582045890849254,0.6481030294217184
7336,0.9190537929534912,0.7658925849547208,0.6719904512886338
7656,0.92221599817276,0.7706371697595759,0.6410770095750628
7901,0.9191778302192688,0.7706518870414358,0.6626743292761732
8165,0.9202318787574768,0.7668750566277068,0.663598940071331
8402,0.9210069179534912,0.764423076923077,0.6666356252099646
8616,0.9207899570465088,0.7715690657130085,0.6592910660101075
8816,0.9201698899269104,0.7682476824768248,0.653394761515255
9016,0.9223400354385376,0.7699090658583633,0.6761678976993215
9216,0.9219369888305664,0.7678406785911858,0.6851629933019606
9218,0.9226190447807312,0.7721380317692168,0.6863893404085242
9418,0.922588050365448,0.7750247770069376,0.6952019270042221
9618,0.9242931604385376,0.7730061349693251,0.6703920047691717
9818,0.922061026096344,0.7740427826712205,0.7056967733961921
10018,0.925068199634552,0.7757260833256008,0.6890890646570976
10218,0.9229910969734192,0.7706794682422452,0.6496792301419754
10418,0.9230220913887024,0.7722645143538476,0.6897265239560021
10535,0.9229910969734192,0.7774592366959326,0.6914038662432361
