Trial,Accuracy,F1 Micro,F1 Macro
1,0.9268043041229248,0.791117402459524,0.697057703434258
2,0.9244171380996704,0.7768625297455609,0.6653267694256916
3,0.9263702630996704,0.7846195701460053,0.6771093480883946
4,0.9246031641960144,0.7854622441778405,0.6853071688368981
5,0.9241071343421936,0.7861635220125786,0.729185619056217
