Data Used,Accuracy,F1 Micro,F1 Macro
658,0.8810763955116272,0.6072086831865656,0.31799129361933803
1646,0.8965463638305664,0.6689812518599345,0.41883711925289363
2535,0.9050409197807312,0.7099157117151245,0.521717234565933
3335,0.909443199634552,0.7300619166435635,0.5781413811733164
4055,0.911737322807312,0.7457354648566581,0.5908940181613137
4703,0.9131944179534912,0.7442455242966751,0.5954670996403709
5287,0.916201651096344,0.7584234516042542,0.6092289226336679
5812,0.9177517294883728,0.7569845195566547,0.6180398496277353
6285,0.9200459122657776,0.7530876017233126,0.6165088239202831
6584,0.9185267686843872,0.7619565217391304,0.6094671120196379
6980,0.9202318787574768,0.7635762197923367,0.6416812817128239
7336,0.921688973903656,0.7654160475482913,0.6367751033829658
7656,0.9188368320465088,0.7659155937052933,0.617523285394157
7901,0.9201388955116272,0.7648347635566916,0.6717996501530069
8165,0.92153400182724,0.7702224239673173,0.6453559866513229
8402,0.9228050708770752,0.7690166975881262,0.6760075508649184
8616,0.918867826461792,0.7664435519857207,0.6411605922525362
8816,0.9212859869003296,0.7675972540045766,0.6739821761944312
9016,0.920820951461792,0.7742619763125331,0.6774061875353251
9216,0.9219059944152832,0.7717676904956058,0.6469477619104864
9218,0.920293927192688,0.7719329371063605,0.694110687145176
9418,0.924727201461792,0.7750185322461083,0.6580957114064828
9618,0.924014151096344,0.7724022657628378,0.6809836615710978
9818,0.921688973903656,0.774585043726575,0.6765886594258034
10018,0.917255699634552,0.7698145752479518,0.6508313313981501
10218,0.922247052192688,0.7738095238095237,0.677251301547436
10418,0.9261842966079712,0.783565130442687,0.7170211293313701
10535,0.9247891902923584,0.7796148255813953,0.6948286605035251
