Data Used,Accuracy,F1 Micro,F1 Macro,Sampling Duration
658,0.8837003290306249,0.6264227642276423,0.43705184554643584,0.0
3621,0.9100227790432802,0.7344041837878222,0.6344994065860255,50.92574858665466
5695,0.9192293090356871,0.7607085949948449,0.6814370732037957,50.2805061340332
6584,0.9239433054922804,0.775243081525804,0.7094328364294697,49.13299584388733
7770,0.9246709693748417,0.7745051614736244,0.7042957032147266,48.963932037353516
7901,0.9261895722601872,0.7774067359984734,0.6999317764044254,49.09039616584778
8692,0.925208807896735,0.7755838238086198,0.695270076181127,49.16889429092407
9218,0.9242596810933941,0.7716955941255007,0.6961440257738544,48.86971044540405
9614,0.9247975196152873,0.7756912333679344,0.698212485568765,48.75572490692139
9891,0.9242280435332828,0.7768979972054029,0.6953773078907193,48.915992736816406
10091,0.9262844849405214,0.7762627232571538,0.7071455650461099,48.56541061401367
10291,0.9241964059731714,0.7741327300150831,0.7038429991439884,48.30886960029602
10491,0.925366995697292,0.7779346700555398,0.6953361642399755,48.33953595161438
10535,0.9243545937737282,0.7782209442537797,0.7015940178009475,49.0212504863739
