Data Used,Accuracy,F1 Micro,F1 Macro
658,0.879619300365448,0.63529632760402,0.34682802579279093
1646,0.8761780858039856,0.6470484270060092,0.37103307661846885
2535,0.8809523582458496,0.6606574761399789,0.3745801418315842
3335,0.8853856921195984,0.6842599709625075,0.4647168040610501
4055,0.8881138563156128,0.6859281176572971,0.4326995440308174
4703,0.8957093358039856,0.6907519764662622,0.4357271214311457
5287,0.8992745280265808,0.7051456575006806,0.47918860468699315
5812,0.9038628339767456,0.7292885202968135,0.5067346994990553
6285,0.9100632667541504,0.7372520605017661,0.5585914400508188
6584,0.9054749608039856,0.7387541770199639,0.5666476600993052
6980,0.916015625,0.7500691945751454,0.5951240192604912
7336,0.9156125783920288,0.7532184950135992,0.6011344359321044
7656,0.9157986044883728,0.7577595433464146,0.6103549829185674
7901,0.9159536361694336,0.7594285207205609,0.6029010185573515
8165,0.9168216586112976,0.7623771145159861,0.6156021145957618
8402,0.9192398190498352,0.7655476554765548,0.6181049568132966
8616,0.9183717966079712,0.7687307861220904,0.6273047612557477
8816,0.9205108880996704,0.7705387506712009,0.6137054535632883
9016,0.9209139347076416,0.7736267636879935,0.6263709030055704
9216,0.9181857705116272,0.7700618628561471,0.6237993999999247
9218,0.9184647798538208,0.7730410769761822,0.6256812242204343
9418,0.9224640130996704,0.7724087724087724,0.6458510242870963
9618,0.9238901138305664,0.7784495984116957,0.6181791996930405
9818,0.9237351417541504,0.7817988291644492,0.651886288789235
10018,0.9240761399269104,0.7771813301792375,0.6432641654411363
10218,0.9196428656578064,0.7778158751928682,0.6405333763517042
10418,0.9232701063156128,0.7795885653219342,0.6785153767991821
10535,0.9263702630996704,0.7872435725163487,0.6720397772609527
