Data Used,Accuracy,F1 Micro,F1 Macro
658,0.8777591784795126,0.623949544664796,0.3251941942344375
1646,0.8954922954241434,0.6959352439140446,0.4389345492007189
2535,0.9049479166666666,0.7188957011772222,0.5001615410549437
3335,0.9109106461207072,0.737588298786691,0.5648632992275245
4055,0.9135457873344421,0.7420451411837137,0.5940719186238276
4703,0.9133287668228149,0.7491006566550942,0.6098354161645894
5287,0.9155092636744181,0.7546267683990003,0.6296534676000723
5812,0.9169456760088602,0.7615598867418344,0.638621954224842
6285,0.9181754191716512,0.7643307942030736,0.6446796774426004
6584,0.9193225105603536,0.7652506899103194,0.6554456864771921
6980,0.9193741679191589,0.7675919196319448,0.62918175977159
7336,0.9198805292447408,0.7655523848932898,0.643847047996224
7656,0.9192915161450704,0.7696895885083332,0.6523993187678574
7901,0.9199322064717611,0.7731942643924485,0.6596023452510694
8165,0.9225053787231445,0.7769668139839098,0.668566543928801
8402,0.9216579596201578,0.7774362061771267,0.6805378911178176
8616,0.9233424266179403,0.7785921338083789,0.6852375177075535
8816,0.9227430621782938,0.7785823516224749,0.6702121112648016
9016,0.9229704141616821,0.7770574212539558,0.6747473526204187
9216,0.9235284328460693,0.7795208426682763,0.6679642577030394
9218,0.9225467046101888,0.7804928661819123,0.6768662931003527
9418,0.924014131228129,0.7828654220829251,0.6911327404849562
9618,0.9242621660232544,0.7828346047195159,0.6960937581449161
9818,0.9249648650487264,0.7848793022631823,0.7038515207497555
10018,0.9231667518615723,0.7814456540714687,0.6897896398358254
10218,0.9247891902923584,0.7832789297836463,0.6875114892442897
10418,0.9235904216766357,0.7807278461209647,0.678326851764037
10535,0.9238074421882629,0.7810600962544929,0.6917262684176319
