Data Used,Accuracy,F1 Micro,F1 Macro
658,0.8901860288534548,0.6502770780856423,0.4150315037159264
1646,0.9009427992913185,0.7083915432616187,0.539293431893556
2535,0.9099278663629461,0.7242080790467887,0.5759305424676547
3335,0.9125854214123007,0.7412679089802416,0.6026401606604999
4055,0.9158440901037711,0.7463768115942028,0.6330413699056976
4703,0.9175841559098964,0.7539435156323794,0.643804761113941
5287,0.9213490255631487,0.7636882129277567,0.675036470572127
5812,0.920083523158694,0.7677881963596249,0.6896137386279247
6285,0.9212541128828143,0.7712526422203843,0.6931398188045729
6584,0.9227410782080486,0.7706180725154989,0.6940497526739106
6980,0.9218552265249305,0.7720561092654116,0.6978020880408312
7336,0.9253353581371804,0.7818853974121996,0.708032251483874
7656,0.9230258162490509,0.7792796879252472,0.700679878808923
7901,0.9236585674512781,0.7755975076722774,0.7105815881046674
8165,0.92207668944571,0.775417160572627,0.7078194778235054
8402,0.9248607947355099,0.7782239238024092,0.7138561285976843
8616,0.9253669956972917,0.7790577877680998,0.6903845417154661
8816,0.9230890913692735,0.7794611267350087,0.6938388277978547
9016,0.9245444191343963,0.779064381658175,0.6897492063830052
9216,0.9245444191343963,0.7814933577645442,0.7200363941081588
9218,0.9242596810933941,0.7786612426035502,0.7095814363787687
9418,0.9262844849405213,0.7857274232113298,0.7169134681603878
9618,0.92555682105796,0.7825524443212273,0.72338955706789
9818,0.9240698557327259,0.7752388087656864,0.6925924914225337
10018,0.9259681093394078,0.7784090909090909,0.6948846312669449
10218,0.9236269298911667,0.7811026478055858,0.7125588371221848
10418,0.9261579347000759,0.7817467738919021,0.7144735442451996
10535,0.9261895722601874,0.7800509097765628,0.702404308862368
