strategy,50,60,70,80
lc,102,100,95,93
mc,99,99,96,98
kmeans,96,99,97,102
coreset,83,93,90,99
besra,92,94,100,101
comal,95,95,85,99
random,88,96,102,92
passive,92,92,92,92
