Data Used,Accuracy,F1 Micro,F1 Macro
388,0.8720312714576721,0.6666666666666666,0.6441314507179139
971,0.8879687786102295,0.7538619979402678,0.7436482321662437
1496,0.8985937237739563,0.7651103872602244,0.7495330684818622
1969,0.8993750214576721,0.7741935483870968,0.7668210453787101
2394,0.9024999737739563,0.7839335180055401,0.776220036570583
2777,0.9075000286102295,0.7879656160458454,0.783910712814711
3122,0.9056249856948853,0.7892533147243546,0.7804821596201394
3432,0.9073437452316284,0.7937391304347825,0.7865546014069411
3711,0.9059374928474426,0.7922705314009663,0.7824185325111206
3886,0.9059374928474426,0.784074605451937,0.7776831037076202
4120,0.9067187309265137,0.797832712495767,0.792157737732476
4330,0.9092187285423279,0.7960687960687961,0.7845359306797408
4530,0.9082812666893005,0.7932370553011625,0.7877131078902952
4663,0.9068750143051147,0.7950481430536451,0.7882618769875975
4863,0.9079687595367432,0.7986324786324787,0.7929770107737143
5063,0.9089062213897705,0.7999999999999999,0.796709705294706
5263,0.9117187261581421,0.7981421936405859,0.7965522491159701
5441,0.9110937714576721,0.8075752451809266,0.8041763565709086
5641,0.9126562476158142,0.8046137714085984,0.8015849439607665
5841,0.9114062786102295,0.8040096785343933,0.7989704118335316
6041,0.9106249809265137,0.8008356545961003,0.7971019023546807
6218,0.9073437452316284,0.7983679020741244,0.7929707273740577
