Data Used,Accuracy,F1 Micro,F1 Macro
388,0.8654687404632568,0.6682080924855491,0.6603298421456223
972,0.8860937356948853,0.7121989735491513,0.7092675278229116
1497,0.8832812309265137,0.7323539949838768,0.7327462884630658
1970,0.8949999809265137,0.7523949889462048,0.7517106151045785
2395,0.9003124833106995,0.762825278810409,0.7622815517226926
2778,0.8996875286102295,0.7632743362831859,0.7619634006268406
3123,0.8995312452316284,0.7677862044059227,0.7673207125514562
3433,0.899218738079071,0.7716814159292035,0.7709843470790773
3712,0.9032812714576721,0.7711645101663586,0.7693893861793641
3886,0.9007812738418579,0.7771147771147772,0.7767311591371724
4120,0.9010937213897705,0.7775043936731106,0.7775627241783309
4330,0.9049999713897705,0.779869659666908,0.7796349743785386
4530,0.9085937738418579,0.7799924783753291,0.7759812165348898
4663,0.8968750238418579,0.7739726027397259,0.775126022271418
4863,0.9034374952316284,0.7799145299145299,0.7794945380487612
5063,0.9051562547683716,0.7774110744407774,0.7779666936885672
5263,0.9053124785423279,0.7801161103047896,0.7781679324217268
5441,0.90625,0.7824510514865844,0.7820162715607428
5641,0.91015625,0.7897623400365631,0.7864417222715919
5841,0.9035937786102295,0.7834327834327834,0.7837766498786976
6041,0.9048437476158142,0.7805405405405405,0.7765016266246757
6219,0.9095312356948853,0.7837131116921927,0.7757063134611502
