Data Used,Accuracy,F1 Micro,F1 Macro
388,0.8569819819819819,0.6484776591538157,0.6406877844141375
972,0.8743564993564994,0.6940853897375636,0.6938738564549811
1497,0.8922136422136422,0.73828125,0.7397940409991006
1970,0.8925353925353925,0.7460076045627375,0.7467102462712791
2395,0.8901222651222651,0.7592527317589002,0.7620869184132831
2778,0.8972007722007722,0.7598647125140925,0.757721926904619
3123,0.8947876447876448,0.7579570688378979,0.7607772572790101
3433,0.8996138996138996,0.760552570990023,0.7607108788877489
3712,0.9044401544401545,0.7652173913043478,0.7628134068549703
3886,0.9033140283140283,0.7638506876227898,0.7617769551181164
4120,0.902027027027027,0.7718246534282502,0.7707184787491901
4330,0.9018661518661518,0.7732342007434945,0.7718324505487566
4530,0.9036357786357786,0.773020083364911,0.7740746003668354
4663,0.9047619047619048,0.7714285714285714,0.7654855316776341
4863,0.9058880308880309,0.7793285552621652,0.7808258417277306
5063,0.9026705276705277,0.7830763714593045,0.7827877195259514
5263,0.9060489060489061,0.7736434108527133,0.7716903448761864
5441,0.8997747747747747,0.7737014166363967,0.7737252822259113
5641,0.9066924066924067,0.7835820895522386,0.7820228530183514
5841,0.9033140283140283,0.776662950575994,0.7739949317192738
6041,0.9073359073359073,0.7737627651217597,0.7740785814954765
6219,0.9055662805662805,0.7808883911907428,0.7774969926531208
