Data Used,Accuracy,F1 Micro,F1 Macro
388,0.8582812547683716,0.6930626057529611,0.6907025102760505
971,0.8862500190734863,0.7555406312961719,0.755147388575672
1496,0.8832812309265137,0.7519096645632681,0.7530495917398806
1969,0.8882812261581421,0.7540419676642586,0.7584067960058307
2394,0.8918750286102295,0.7587168758716876,0.7539444850187336
2777,0.8970312476158142,0.7706230421162548,0.7737861840219111
3122,0.8982812762260437,0.7722980062959076,0.7745420185548484
3432,0.897656261920929,0.7742157876594279,0.778163297791885
3711,0.8978124856948853,0.7754120879120879,0.7774579247810312
3886,0.89453125,0.7717281028068989,0.7760774133540407
4120,0.8993750214576721,0.7770083102493075,0.7743253045558656
4330,0.9007812738418579,0.7783595113438044,0.7795756214774324
4530,0.8978124856948853,0.7665952890792291,0.7690035966013354
4663,0.8940625190734863,0.7735470941883767,0.7758741688129267
4863,0.8917187452316284,0.769076974341886,0.7701725989270825
5063,0.895312488079071,0.7719537100068073,0.7732275169889042
5263,0.8978124856948853,0.7685774946921444,0.7629052822738259
5441,0.8943750262260437,0.7639664804469274,0.765435187345976
5641,0.8990625143051147,0.768790264853257,0.7659920109544697
5841,0.8920312523841858,0.7781701444622793,0.7812917701746502
6041,0.8965625166893005,0.7694986072423399,0.7676500622781739
6218,0.8956249952316284,0.7783676177836761,0.7801960848167624
