Trial,Accuracy,F1 Micro,F1 Macro
1,0.9046875238418579,0.7804175665946725,0.7799376054618612
2,0.9110937714576721,0.7974368102527589,0.794958424552383
3,0.8985937237739563,0.7684623617552622,0.7706506451464883
4,0.9067187309265137,0.7831456592807845,0.7764682111263069
5,0.9089062213897705,0.7838338895068594,0.7835777868470127
