Data Used,Accuracy,F1 Micro,F1 Macro
388,0.8596874872843424,0.6933542202515364,0.6899357775775631
971,0.8829687436421713,0.7409305617621151,0.7398171494449889
1496,0.88651043176651,0.7521620106900219,0.7524589445668287
1969,0.8844270706176758,0.7538894711044092,0.75625759085295
2394,0.8903124928474426,0.7555235099226262,0.7567778650540437
2777,0.8926041722297668,0.7609136962713962,0.7603833714878485
3122,0.8943749864896139,0.7613971039738258,0.7624293652430575
3432,0.8922395904858907,0.7705893997890275,0.7726336419186497
3711,0.8962499896685282,0.7719714904148726,0.7724836088955631
3886,0.8936458428700765,0.7692373724719958,0.7702225248993083
4120,0.8944270809491476,0.7717452132018554,0.7692657849012218
4330,0.8947916825612386,0.7731966064747674,0.7741444087114999
4530,0.8969791730244955,0.7731851310832997,0.7745261319565259
4663,0.894739588101705,0.7702285724434995,0.7728965545556132
4863,0.8959374825159708,0.7756174002128704,0.7761546092419535
5063,0.9021874864896139,0.7778055439921662,0.7730467780564295
5263,0.8996354142824808,0.7731442567014306,0.7711825321496639
5441,0.9011458357175192,0.7785004745608287,0.7777830642498179
5641,0.8957291642824808,0.7756149361333478,0.7764907576545067
5841,0.8931770920753479,0.7729421629910987,0.7754596726683269
6041,0.89864581823349,0.7744613959841344,0.7739717463614513
6218,0.8971354166666666,0.772541968636347,0.7717985279369964
