Data Used,Accuracy,F1 Micro,F1 Macro
388,0.8678,0.68,0.6722
1963,0.8823,0.7457,0.7449
3240,0.8973,0.7751,0.7755
3886,0.8992,0.7802,0.7784
4586,0.9031,0.7749,0.7676
4663,0.9055,0.7814,0.7793
5130,0.9027,0.7799,0.7751
5441,0.9056,0.7791,0.7728
5674,0.9034,0.7838,0.7799
5874,0.9052,0.7833,0.7842
6074,0.9087,0.7856,0.7802
6218,0.9028,0.7864,0.785
