Data Used,Accuracy,F1 Micro,F1 Macro,Sampling Duration
388,0.8753125071525574,0.7074780058651027,0.6963400871210499,0.0
971,0.8871874809265137,0.7333825701624817,0.723045502872632,0.00033783912658691406
1496,0.8907812237739563,0.747014115092291,0.7427797632990731,0.00031948089599609375
1969,0.8896874785423279,0.753319357092942,0.7511525627616769,0.0003216266632080078
2394,0.8917187452316284,0.7524115755627009,0.7491782617915882,0.00028586387634277344
2777,0.893750011920929,0.7632311977715878,0.7618947539458925,0.0002777576446533203
3122,0.8984375,0.7681883024251069,0.7668049219535231,0.0002613067626953125
3432,0.8982812762260437,0.7669172932330828,0.7626717474309781,0.0002372264862060547
3711,0.8998437523841858,0.7738977072310407,0.7713575017446614,0.00019478797912597656
3886,0.8957812786102295,0.7700792830058599,0.7692737630238232,0.056195735931396484
4120,0.8981249928474426,0.7760989010989011,0.7770707767261902,0.00017714500427246094
4330,0.9009374976158142,0.773409578270193,0.7736274889975333,0.00016045570373535156
4530,0.8979687690734863,0.7770570160464323,0.7747420386150785,0.00014925003051757812
4663,0.90234375,0.7771836007130125,0.7746438158451099,0.06684517860412598
4863,0.9012500047683716,0.7720057720057721,0.7681462761508655,0.00014972686767578125
5063,0.9026562571525574,0.7774205073240442,0.7748468466601486,0.0001819133758544922
5263,0.8999999761581421,0.7840755735492577,0.7819606613236533,0.0001552104949951172
5441,0.9037500023841858,0.78506629448709,0.7838890078828291,0.07722353935241699
5641,0.9021875262260437,0.7850274725274725,0.7853987132567126,0.00015616416931152344
5841,0.9034374952316284,0.786896551724138,0.7857934945479628,0.00016069412231445312
6041,0.9076562523841858,0.7885509838998211,0.7866060314554131,0.00014853477478027344
6218,0.9042187333106995,0.7819281394521523,0.7761509485553959,0.09635543823242188
