Data Used,Accuracy,F1 Micro,F1 Macro
388,0.8678125143051147,0.6873614190687363,0.6840429536177318
971,0.8665624856948853,0.6952177016416845,0.6909304075844368
1496,0.8657812476158142,0.6935426328933286,0.6837935772891852
1969,0.8814062476158142,0.707514450867052,0.701754827688428
2394,0.8818749785423279,0.7305773342836779,0.729447811647255
2777,0.8889062404632568,0.7456171735241502,0.7426834631752135
3122,0.8921874761581421,0.7509025270758123,0.7494424946111032
3432,0.8954687714576721,0.7523139577934098,0.748531968983819
3711,0.8959375023841858,0.7611190817790531,0.7601035803951619
3886,0.8939062356948853,0.7584489505514052,0.7577434174357347
4120,0.9003124833106995,0.7659574468085107,0.7634498317574075
4330,0.9040625095367432,0.7696924231057763,0.7667471984055994
4530,0.9042187333106995,0.7692886714339481,0.7643593318238449
4663,0.9046875238418579,0.775735294117647,0.7743063910378088
4863,0.9068750143051147,0.773038842345773,0.7676305118030822
5063,0.9021875262260437,0.7773826458036984,0.7735383573707113
5263,0.9029687643051147,0.7714390872285609,0.7693064794449282
5441,0.9029687643051147,0.7762162162162162,0.7724366170259417
5641,0.901562511920929,0.7702407002188183,0.7658228690948528
5841,0.9064062237739563,0.7808269301134285,0.7805616509119488
6041,0.905468761920929,0.7774917248988599,0.7746711871149164
6218,0.9087499976158142,0.7801204819277108,0.7761987951132687
