Data Used,Accuracy,F1 Micro,F1 Macro,Sampling Duration
388,0.8717187643051147,0.6858017604286262,0.6771623562663694,0.0
971,0.8870312571525574,0.7438894792773646,0.7417288163148948,117.760258436203
1496,0.8949999809265137,0.7568740955137482,0.7563961756025162,106.34234690666199
1969,0.9026562571525574,0.7740297424737033,0.7722384550316037,95.5627760887146
2394,0.9009374976158142,0.7745376955903273,0.771046580070736,86.17997097969055
2777,0.9014062285423279,0.7753648985404059,0.7719965534195132,77.79197812080383
3122,0.9065625071525574,0.7850467289719626,0.7827393568108328,70.50395107269287
3432,0.9073437452316284,0.7863063063063063,0.7847716496184693,63.53498148918152
3711,0.9078124761581421,0.7840409956076134,0.7802754744848195,56.898080587387085
3886,0.905468761920929,0.7895652173913044,0.7886844042767731,51.85603356361389
4120,0.9060937762260437,0.790080335312609,0.7895690929478917,47.8055260181427
4330,0.9084374904632568,0.7923458540042524,0.7897892802091111,43.363308906555176
4530,0.9043750166893005,0.7898351648351648,0.7865698371943284,39.687312602996826
4663,0.903124988079071,0.78442280945758,0.7790944236698252,35.02368140220642
4863,0.9046875238418579,0.7858146067415731,0.7839715417733939,32.29754996299744
5063,0.9103124737739563,0.7870919881305638,0.7834548326152431,28.221999645233154
5263,0.9046875238418579,0.7801009372746935,0.7765228057339285,24.526207447052002
5441,0.9051562547683716,0.787836420831877,0.7854605575347646,20.57097578048706
5641,0.9065625071525574,0.7906162464985995,0.7908673030203012,16.865320444107056
5841,0.9034374952316284,0.783157894736842,0.7804643837462595,12.663188219070435
6041,0.9064062237739563,0.7816259569814071,0.7744403015379757,8.73097825050354
6218,0.9060937762260437,0.7857397504456328,0.7824413229018492,4.797285795211792
