Data Used,Accuracy,F1 Micro,F1 Macro
388,0.8654687404632568,0.6682080924855491,0.6603298421456223
972,0.8660937547683716,0.686654478976234,0.6798711113967502
1497,0.8845312595367432,0.7127866303925379,0.7115174212168562
1970,0.8892187476158142,0.737698853126156,0.7360431366414988
2395,0.8985937237739563,0.7550018875047189,0.7486650841010218
2778,0.8993750214576721,0.7591623036649214,0.7546371217516878
3123,0.8987500071525574,0.7592867756315008,0.7572348568534105
3433,0.9014062285423279,0.7699598979219833,0.7701193350000408
3712,0.9010937213897705,0.7675358060962174,0.7594531856609336
3886,0.9057812690734863,0.7679876875721431,0.7633805839492293
4120,0.9009374976158142,0.7692867540029111,0.7632645934763995
4330,0.9035937786102295,0.7727440147329651,0.7707284866733473
4530,0.9017187356948853,0.7755975740278274,0.7768310275503617
4663,0.9028124809265137,0.7760979121670267,0.7752662809883566
4863,0.9078124761581421,0.7801788375558868,0.77247096368774
5063,0.9075000286102295,0.7782771535580525,0.773886793950766
5263,0.9040625095367432,0.7825779036827194,0.7808183477318215
5441,0.9057812690734863,0.7847197429489469,0.7809587959686943
5641,0.905468761920929,0.7805585781646718,0.7824893322318482
5841,0.9075000286102295,0.782991202346041,0.7805856030181171
6041,0.9024999737739563,0.7813594954449894,0.7791275077231252
6219,0.9087499976158142,0.7865497076023392,0.7837183697135791
