Data Used,Accuracy,F1 Micro,F1 Macro
388,0.8654687404632568,0.6682080924855491,0.6603298421456223
972,0.8776562213897705,0.7202572347266882,0.7168239510669014
1497,0.8870312571525574,0.7420620763467712,0.7442126855591956
1970,0.8978124856948853,0.756152125279642,0.7560182178731676
2395,0.8998437523841858,0.7600149756645451,0.7580561398729737
2778,0.8971874713897705,0.7629682997118156,0.7619604561180199
3123,0.9028124809265137,0.7665165165165165,0.7616912897503341
3433,0.8987500071525574,0.7667386609071275,0.7658910546636537
3712,0.8985937237739563,0.7720407446434844,0.7716087228867603
3886,0.8993750214576721,0.7765440666204024,0.776763237889073
4120,0.9040625095367432,0.7764020393299345,0.7744960812989393
4330,0.905468761920929,0.7746741154562385,0.7722216221046891
4530,0.9075000286102295,0.7787742899850524,0.7774506375997673
4663,0.9076562523841858,0.7810300111152279,0.7780481813596755
4863,0.9040625095367432,0.7794540229885057,0.7804541956387299
5063,0.9065625071525574,0.7794985250737464,0.7782034507201492
5263,0.9059374928474426,0.7826714801444044,0.7810542053503707
5441,0.9053124785423279,0.7807525325615051,0.7778918389072981
5641,0.9081249833106995,0.7823834196891192,0.775651091311672
5841,0.9081249833106995,0.7849305047549379,0.7807063133197926
6041,0.907031238079071,0.779056813962124,0.7760660567996092
6219,0.9001562595367432,0.7795791652293894,0.7793577400365546
