Data Used,Accuracy,F1 Micro,F1 Macro,Sampling Duration
166,0.7786458134651184,0.4110854503464203,0.13501945885594288,0.0
416,0.8465712070465088,0.4321285140562249,0.16213787248607134,0.00020074844360351562
641,0.8600260615348816,0.5930599369085173,0.3931162103150747,0.00016689300537109375
844,0.8672959804534912,0.5940922668436773,0.3863388290390954,0.00014328956604003906
1026,0.8722873330116272,0.6334475241357833,0.4654722599701638,0.00016427040100097656
1190,0.8741319179534912,0.6480582524271844,0.48090322937221636,0.0001304149627685547
1338,0.8796657919883728,0.6632250227755847,0.5319594928054904,0.00012946128845214844
1471,0.8853081464767456,0.6830584707646178,0.5667365150241496,0.0001220703125
1591,0.8842231035232544,0.6739993889398105,0.5717435268284242,0.00012493133544921875
1664,0.8849826455116272,0.6898771211234641,0.5774425239259598,0.0562136173248291
1764,0.8856337070465088,0.6788543570993297,0.5934084117179289,0.00011444091796875
1864,0.8876953125,0.6922390722569134,0.6085567390091048,0.00011515617370605469
1964,0.890625,0.7049180327868853,0.6168639155876884,0.00011014938354492188
1996,0.8845486044883728,0.6906976744186046,0.5764023522312233,0.05760908126831055
2096,0.8937717080116272,0.7088908712459112,0.6321643231915701,0.0001163482666015625
2196,0.8892143964767456,0.70119988293825,0.6050277921343975,0.00011372566223144531
2296,0.8922526240348816,0.7045522166022018,0.6313858832744356,0.0001068115234375
2329,0.8951823115348816,0.7135231316725978,0.6422331327750423,0.06587958335876465
2429,0.8937717080116272,0.7073243647234679,0.6362997404960246,0.00010371208190917969
2529,0.8963758945465088,0.725653547831083,0.6674232096644012,9.465217590332031e-05
2629,0.8932291865348816,0.7034358047016275,0.624408660932396,0.00012969970703125
2662,0.8977864384651184,0.7152357920193472,0.631341679462245,0.07530045509338379
