Data Used,Accuracy,F1 Micro,F1 Macro,Sampling Duration
25,0.9583333134651184,0.9683698296836984,0.6510273077539183,0.0
63,0.9583333134651184,0.9683698296836984,0.6510273077539183,8.940696716308594e-05
97,0.9599359035491943,0.9695493300852619,0.6518264259683023,8.320808410644531e-05
128,0.9583333134651184,0.9683698296836984,0.6510273077539183,7.939338684082031e-05
156,0.9583333134651184,0.9683698296836984,0.6510273077539183,7.104873657226562e-05
181,0.9583333134651184,0.9683698296836984,0.6510273077539183,7.581710815429688e-05
203,0.9583333134651184,0.9683698296836984,0.6510273077539183,6.341934204101562e-05
223,0.9631410241127014,0.9718482252141983,0.7932359607341789,6.4849853515625e-05
241,0.9599359035491943,0.9694002447980417,0.7606682769726247,6.556510925292969e-05
250,0.9615384340286255,0.9708029197080292,0.7626357072359878,0.012859106063842773
265,0.9615384340286255,0.9706601466992666,0.762320610146697,6.389617919921875e-05
279,0.9615384340286255,0.9708029197080292,0.7358258630637148,8.487701416015625e-05
292,0.9631410241127014,0.9719853836784409,0.7366500441535505,6.151199340820312e-05
300,0.9647436141967773,0.9728395061728395,0.6537572306335969,0.014648675918579102
310,0.9663461446762085,0.9743589743589743,0.7548725026985897,5.936622619628906e-05
320,0.9663461446762085,0.9741060419235511,0.7638640105665019,5.555152893066406e-05
330,0.9663461446762085,0.9744214372716199,0.765260913087,7.009506225585938e-05
340,0.9679487347602844,0.975609756097561,0.779149801975889,6.604194641113281e-05
350,0.9679487347602844,0.9754901960784313,0.8315350084113747,0.016251325607299805
360,0.9631410241127014,0.9720534629404618,0.8293023739026545,6.461143493652344e-05
370,0.9695512652397156,0.9767441860465116,0.8625648103908974,6.198883056640625e-05
380,0.9647436141967773,0.9730392156862745,0.7372243129509525,5.936622619628906e-05
390,0.9679487347602844,0.975609756097561,0.8310944885979948,6.031990051269531e-05
400,0.9695512652397156,0.976857490864799,0.832052838702455,0.018841981887817383
