Data Used,Accuracy,F1 Micro,F1 Macro,Sampling Duration
25,0.9583333134651184,0.9683698296836984,0.6510273077539183,0.0
63,0.9583333134651184,0.9683698296836984,0.6510273077539183,7.210447788238525
97,0.9647436141967773,0.9731051344743277,0.6542750609246774,6.549007177352905
128,0.9647436141967773,0.9731051344743277,0.6542750609246774,5.8461127281188965
156,0.9679487347602844,0.9754901960784313,0.7216586151368759,5.459500551223755
181,0.9631410241127014,0.9717791411042945,0.6531803542673108,5.088135480880737
203,0.9663461446762085,0.974296205630355,0.7208164686425556,4.618417501449585
223,0.9695512652397156,0.976629766297663,0.7223992669104368,4.351802587509155
241,0.9695512652397156,0.9766871165644173,0.788205836031923,3.936805248260498
250,0.9663461446762085,0.9741060419235511,0.7204238973002636,3.9712753295898438
266,0.9663461446762085,0.9743589743589743,0.7692776627559237,3.372363328933716
280,0.9647436141967773,0.9730392156862745,0.7198470209339775,3.331944704055786
293,0.9663461446762085,0.974296205630355,0.7208164686425556,3.0374159812927246
300,0.9695512652397156,0.9766871165644173,0.8316687573953968,3.0064697265625
311,0.9663461446762085,0.9742331288343558,0.7206884717932472,2.670137882232666
321,0.9679487347602844,0.9754299754299753,0.7215391693652563,2.5304605960845947
331,0.9679487347602844,0.9755501222493888,0.765260913087,2.281707763671875
341,0.9679487347602844,0.975609756097561,0.8160545638806509,2.239682674407959
350,0.9711538553237915,0.9779951100244498,0.8327697262479873,2.121978759765625
360,0.9695512652397156,0.9767441860465116,0.8317995829043584,1.9154224395751953
370,0.9695512652397156,0.976857490864799,0.8225099654180198,1.8049960136413574
380,0.9679487347602844,0.9755501222493888,0.796473340984511,1.5995616912841797
390,0.9663461446762085,0.9744214372716199,0.8206884717932473,1.4048311710357666
400,0.9695512652397156,0.976857490864799,0.8142797621058491,1.1520226001739502
