strategy,precision,recall,tp_count,fp_count,fn_count,all_count,nonzero_count
lc,95.52,95.52,232,28,41,171,171
mc,96.06,96.06,234,21,39,175,175
kmeans,95.99,95.99,240,29,33,175,175
coreset,95.45,95.45,227,23,46,165,165
comal,95.37,95.37,228,25,45,165,165
besra,95.68,95.68,233,28,40,171,171
random,95.22,95.22,229,32,44,164,164
